Time,Share
1500595430,0.36975397973950797
1500681821,0.38226744186046513
1500768021,0.38098693759071117
1500854471,0.3767806267806268
1500940816,0.4221105527638191
1501027344,0.4422145328719723
1501113777,0.4747991234477721
1501200241,0.4501818181818182
1501286443,0.45209368346344925
1501372872,0.4319654427645788
1501459242,0.4992721979621543
1501545795,0.44779411764705884
1501632167,0.42426417803302224
1501718453,0.45973645680819913
1501804845,0.46827586206896554
1501891320,0.4426705370101596
1501977811,0.4448476052249637
1502064159,0.45564229950319374
1502150404,0.4610992148465382
1502236904,0.45467730239303844
1502323420,0.44395924308588064
1502409719,0.455325232308792
1502496114,0.45830363506771205
1502582581,0.4729429206819867
1502668936,0.4776657060518732
1502755624,0.45143256464011183
1502841723,0.6346015793251975
1502928041,0.5724881995954147
1503014409,0.5092067988668555
1503100814,0.48456568557071067
1503187398,0.5070521861777151
1503273736,0.4624731951393853
1503360148,0.5159781761496492
1503446409,0.4686609686609687
1503532959,0.5076363636363637
1503619218,0.49100071994240463
1503705632,0.5145907473309609
1503792033,0.5092592592592593
1503878612,0.5185714285714286
1503964984,0.5018129079042785
1504051262,0.5159651669085631
1504137652,0.5337039610840861
1504224134,0.47574221578566256
1504310429,0.47054597701149425
1504396916,0.5170660856935366
1504483269,0.32381667918858004
1504569605,0.5160599571734475
1504656061,0.5075268817204301
1504742515,0.43202846975088965
1504846572,0.4004329004329004
1504915295,0.5299777942264989
1505001794,0.48832116788321167
1505088058,0.5183058147882269
1505174422,0.5241180705543557
1505261178,0.5210674157303371
1505347261,0.5063649222065064
1505433601,0.35345454545454547
1505547423,0.2709815078236131
1505606534,0.5058394160583941
1505693029,0.5407725321888412
1505779249,0.4956584659913169
1505865660,0.5104241552839683
1505952088,0.5082674335010784
1506038451,0.5165843330980946
1506124978,0.5320417287630402
1506211254,0.5010737294201861
1506297650,0.48730606488011285
1506384122,0.502491103202847
1506470547,0.48642857142857143
1506557232,0.507537688442211
1506643226,0.515850144092219
1506729944,0.5202057310800882
1506816040,0.4608058608058608
1506902459,0.4922752808988764
1506988867,0.4830508474576271
1507075231,0.47375988497483823
1507161634,0.4633967789165447
1507248152,0.44315713251267197
1507338198,0.3559077809798271
1507421149,0.3696581196581197
1507507318,0.36034732272069464
1507593983,0.3613505747126437
1507680065,0.3644859813084112
1507766580,0.3799854967367658
1507852836,0.36470588235294116
1507939620,0.34827332843497427
1508026145,0.34885386819484243
1508112338,0.36899563318777295
1508198874,0.36072144288577157
